Chr01	WW01	179112840	82	0
Chr01	WW04	169361740	77	0
Chr01	ME01	206468765	118	0
Chr02	WW01	173383235	78	0
Chr02	WW04	164233757	126	0
Chr02	ME01	201017414	102	0
Chr03	WW01	141037073	92	0
Chr03	WW04	134410723	90	0
Chr03	ME01	165190704	58	0
Chr04	WW01	131643325	56	0
Chr04	WW04	123774905	73	0
Chr04	ME01	152244609	80	1
Chr05	WW01	126084394	81	0
Chr05	WW04	118771626	109	0
Chr05	ME01	145560338	125	1
Chr06	WW01	119355849	92	0
Chr06	WW04	111904160	118	0
Chr06	ME01	137733372	110	0
Chr07	WW01	117711664	98	2
Chr07	WW04	111935144	96	1
Chr07	ME01	134307041	110	0
Chr08	WW01	105077444	74	0
Chr08	WW04	99819834	127	0
Chr08	ME01	121528280	61	0
Chr09	WW01	95347163	56	0
Chr09	WW04	89100933	46	0
Chr09	ME01	111451724	40	0
Chr10	WW01	89788648	63	0
Chr10	WW04	84282297	57	0
Chr10	ME01	103158916	66	0
Chr11	WW01	85912367	64	1
Chr11	WW04	81483354	73	1
Chr11	ME01	101529471	47	0
Chr12	WW01	81074341	67	0
Chr12	WW04	76300519	49	0
Chr12	ME01	95451510	25	0
Chr13	WW01	84050266	48	1
Chr13	WW04	79265487	36	0
Chr13	ME01	97358954	49	0
Chr14	WW01	81056378	30	0
Chr14	WW04	76114570	39	0
Chr14	ME01	93543709	44	0
Chr14	WW01	81056378	30	0
Chr14	WW04	76114570	39	0
Chr14	ME01	93543709	44	0
Chr15	WW01	79379675	33	0
Chr15	WW04	74551710	36	0
Chr15	ME01	93962542	41	0
Chr16	WW01	73314752	66	0
Chr16	WW04	68866706	79	1
Chr16	ME01	85354086	72	0
Chr17	WW01	69090880	76	1
Chr17	WW04	64872889	70	0
Chr17	ME01	79904316	79	0
Chr18	WW01	61381048	59	2
Chr18	WW04	57286186	64	0
Chr18	ME01	73048352	59	0
Chr19	WW01	60270115	70	0
Chr19	WW04	57168626	114	0
Chr19	ME01	69908310	81	0
Chr20	WW01	59401227	61	0
Chr20	WW04	56264954	64	0
Chr20	ME01	67647640	66	0
Chr21	WW01	49936829	23	0
Chr21	WW04	48058721	19	0
Chr21	ME01	55487997	47	0
