Chr01	WW01	124877048	862	3
Chr01	WW04	115526527	857	3
Chr01	ME01	165245070	1273	3
Chr02	WW01	121280113	894	4
Chr02	WW04	112335809	911	2
Chr02	ME01	161010506	962	1
Chr03	WW01	97977384	803	4
Chr03	WW04	91543910	706	1
Chr03	ME01	132047919	853	1
Chr04	WW01	92291736	530	5
Chr04	WW04	84821295	636	2
Chr04	ME01	122289590	692	3
Chr05	WW01	88995784	661	2
Chr05	WW04	82005503	806	4
Chr05	ME01	117156012	950	7
Chr06	WW01	83230690	893	3
Chr06	WW04	76196998	902	1
Chr06	ME01	110334005	952	9
Chr07	WW01	83116075	887	5
Chr07	WW04	77548494	916	3
Chr07	ME01	108000647	838	3
Chr08	WW01	73188107	599	2
Chr08	WW04	68100892	851	4
Chr08	ME01	97417077	614	8
Chr09	WW01	66347000	399	5
Chr09	WW04	60612235	447	3
Chr09	ME01	89367955	472	2
Chr10	WW01	63107527	535	5
Chr10	WW04	58055401	443	3
Chr10	ME01	82852602	582	5
Chr11	WW01	59507997	598	3
Chr11	WW04	55250915	573	3
Chr11	ME01	81119623	502	3
Chr12	WW01	55869963	564	1
Chr12	WW04	51319045	500	5
Chr12	ME01	76456802	421	2
Chr13	WW01	57969885	427	2
Chr13	WW04	53424658	456	4
Chr13	ME01	77532630	547	3
Chr14	WW01	55964950	392	0
Chr14	WW04	51475649	307	3
Chr14	ME01	74690518	576	1
Chr15	WW01	54803762	307	5
Chr15	WW04	50306568	356	4
Chr15	ME01	75201045	410	3
Chr16	WW01	51238224	506	1
Chr16	WW04	47096120	681	3
Chr16	ME01	68266917	662	1
Chr17	WW01	48275000	682	15
Chr17	WW04	44297562	534	1
Chr17	ME01	63895651	611	3
Chr18	WW01	42291818	461	8
Chr18	WW04	38434383	587	1
Chr18	ME01	58202026	649	7
Chr19	WW01	42638149	664	1
Chr19	WW04	39556155	959	8
Chr19	ME01	56259981	617	4
Chr20	WW01	41736968	451	3
Chr20	WW04	38719403	505	7
Chr20	ME01	54150451	582	3
Chr21	WW01	35195913	273	0
Chr21	WW04	33222064	251	0
Chr21	ME01	44379956	459	2
